Name of Institution,Street Address,City,ZIP Code,County,Location 1
"Bank of Castile, The",3140 Monroe Avenue,Rochester,14618,Monroe,"3140 Monroe Avenue
Rochester, NY 14618
(43.106459, -77.542086)"
"Bank of Castile, The", 2301 West Side Drive, Rochester,14624,Monroe,"2301 West Side Drive
Rochester, NY 14624
(43.126874, -77.798734)"
"Bank of Castile, The",2367 North Main Street,Warsaw,14569,Wyoming,"2367 North Main Street
Warsaw, NY 14569"
Bank of Cattaraugus,24 Main Street,Cattaraugus,14719,Cattaraugus,"24 Main Street
Cattaraugus, NY 14719
(42.330738, -78.869495)"
Bank of Holland,250 Quaker Road,East Aurora,14052,Erie,"250 Quaker Road
East Aurora, NY 14052
(42.763553, -78.63532)"
Bank of Holland,2341 Bowen Road,Elma,14059,Erie,"2341 Bowen Road
Elma, NY 14059
(42.832274, -78.636845)"
Bank of Holland,12 South Main Street,Holland,14080,Erie,"12 South Main Street
Holland, NY 14080
(42.640776, -78.54136)"
Bank of Holland,Route 78,Java Village,14083,Wyoming,"78 Java Village
NY 14083"
Bank of Holland,Route 16,Yorkshire,14173,Cattaraugus,"16 Yorkshire
NY 14173
(42.995478, -78.823043)"
Bank of Hope,210-16 Northern Boulevard,Bayside,11361,Queens,"210 16 Northern Boulevard
Bayside, NY 11361"
Bank of Hope, 162-05 Crocheron Avenue,Flushing,11358,Queens,"162 05 Crocheron Avenue
Flushing, NY 11358"
Bank of Hope,138-02 Northern Boulevard,Flushing,11354,Queens,"138 02 Northern Boulevard
Flushing, NY 11354"
Bank of Hope,150-24 Northern Boulevard,Flushing,11354,Queens,"150 24 Northern Boulevard
Flushing, NY 11354"
Bank of Hope,485 Great Neck Road,Great Neck,11021,Nassau,"485 Great Neck Road
Great Neck, NY 11021
(40.775442, -73.732247)"
Bank of Hope,16 West 32nd Street,New York,10001,New York,"16 West 32nd Street
New York, NY 10001
(40.747592, -73.986547)"
Bank of Hope,50-15 Roosevelt Avenue,Woodside,11317,Queens,"50 15 Roosevelt Avenue
Woodside, NY 11317
(41.712738, -74.578533)"
Bank of Millbrook,5094 Route 22,Amenia,12501,Dutchess,"5094 Route
Amenia, NY 12501"
Bank of Millbrook,131 Millbrook School Road,Millbrook,12545,Dutchess,"131 Millbrook School Road
Millbrook, NY 12545
(41.846097, -73.617992)"
Bank of Millbrook,76 Flint Road,Millbrook,12545,Dutchess,"76 Flint Road
Millbrook, NY 12545
(41.729518, -73.659531)"
Bank of Millbrook,3263 Franklin Avenue,Millbrook,12545,Dutchess,"3263 Franklin Avenue
Millbrook, NY 12545
(41.785041, -73.69584)"
Bank of Millbrook,2971 Church Street,Pine Plains,12567,Dutchess,"2971 Church Street
Pine Plains, NY 12567
(41.979638, -73.656078)"
Bank of Millbrook,11 Hunns Lake Road,Stanfordville,12581,Dutchess,"11 Hunns Lake Road
Stanfordville, NY 12581
(41.872078, -73.698872)"
Bank of Richmondville,857 East Main Street,Cobleskill,12043,Schoharie,"857 East Main Street
Cobleskill, NY 12043
(42.680591, -74.470737)"
Bank of Richmondville,284  Main Street,Richmondville,12149,Schoharie,"284 Main Street
Richmondville, NY 12149
(42.63437, -74.563459)"
Bank of Richmondville,428 Main Street,Schoharie,12157,Schoharie,"428 Main Street
Schoharie, NY 12157
(42.672435, -74.306257)"
Bank of Utica, 222 Genesee Street,Utica,13502,Oneida,"222 Genesee Street
Utica, NY 13502
(43.10066, -75.232725)"
Bank of Utica,222 Genesee Street,Utica,13502,Oneida,"222 Genesee Street
Utica, NY 13502
(43.10066, -75.232725)"
"BankUnited, NA",445 Broadhollow Road,Melville,11747,Suffolk,"445 Broadhollow Road
Melville, NY 11747
(40.776149, -73.42047)"
"BankUnited, NA",136 East 57th Street,New York,10022,New York,"136 East 57th Street
New York, NY 10022
(40.760924, -73.969133)"
"BankUnited, NA",960 Avenue of the Americas,New York,10001,New York,"960 Avenue
New York, NY 10001
(40.77782, -73.959046)"
"Berkshire Bank (Pittsfield, MA)",979 Central Avenue,Albany,12205,Albany,"979 Central Avenue
Albany, NY 12205
(42.684119, -73.794663)"
"Berkshire Bank (Pittsfield, MA)", 1704 Western Avenue,Albany,12203,Albany,"1704 Western Avenue
Albany, NY 12203
(42.688083, -73.85941)"
"Berkshire Bank (Pittsfield, MA)",98 Wolf Road,Albany,12205,Albany,"98 Wolf Road
Albany, NY 12205
(42.716011, -73.810592)"
"Berkshire Bank (Pittsfield, MA)",194 Washington Avenue,Albany,12201,Albany,"194 Washington Avenue
Albany, NY 12201
(42.65663, -73.76309)"
"Berkshire Bank (Pittsfield, MA)",30 SOUTH PEARL ST,ALBANY,12207,Albany,"30 SOUTH PEARL ST
ALBANY, NY 12207
(42.648989, -73.753407)"
"Berkshire Bank (Pittsfield, MA)",140 Sanford Farms,Amsterdam,12010,Montogomery,"140 Sanford
Amsterdam, NY 12010
(42.944834, -74.177006)"
"Berkshire Bank (Pittsfield, MA)", 2532 ROUTE 9, BALLSTON SPA,12019,Saratoga,"2532 ROUTE
BALLSTON SPA, NY 12019"
"Berkshire Bank (Pittsfield, MA)",50-52 Main Street,Chatham,12037,Columbia,"50 52 Main Street
Chatham, NY 12037
(42.363139, -73.595568)"
"Berkshire Bank (Pittsfield, MA)",151 Vly Road,Colonie,12205,Albany,"151 Vly Road
Colonie, NY 12205
(42.742831, -73.836798)"
"Berkshire Bank (Pittsfield, MA)",255 Delaware Avenue,Delmar,12054,Albany,"255 Delaware Avenue
Delmar, NY 12054
(42.626415, -73.821224)"
"Berkshire Bank (Pittsfield, MA)",602 Columbia Turnpike,East Greenbush,12061,Rensselaer,"602 Columbia Turnpike
East Greenbush, NY 12061
(42.59817, -73.709319)"
"Berkshire Bank (Pittsfield, MA)",6611 Manlius Road,East Syracuse,13057,Onondaga,"6611 Manlius Road
East Syracuse, NY 13057
(43.090591, -75.981726)"
"Berkshire Bank (Pittsfield, MA)",262 Saratoga Road,Glenville,12302,Schenectady,"262 Saratoga Road
Glenville, NY 12302
(42.870443, -73.9319)"
"Berkshire Bank (Pittsfield, MA)",7 Halfmoon Crossing,Halfmoon,12065,Saratoga,"7 Halfmoon Crossing
Halfmoon, NY 12065
(42.858177, -73.768232)"
"Berkshire Bank (Pittsfield, MA)",561 Warren Street,Hudson,12534,Columbia,"561 Warren Street
Hudson, NY 12534
(42.248648, -73.785339)"
"Berkshire Bank (Pittsfield, MA)",1 Central Plaza,Ilion,13357,Herkimer,"1 Central Plaza
Ilion, NY 13357
(43.015061, -75.035758)"
"Berkshire Bank (Pittsfield, MA)",51 West Main Street,Johnstown,12095,Fulton,"51 West Main Street
Johnstown, NY 12095
(43.006417, -74.37246)"
"Berkshire Bank (Pittsfield, MA)",628 Loudon Road (Route 9),Latham,12110,Albany,"628 Loudon Road Route
Latham, NY 12110
(42.732171, -73.762256)"
"Berkshire Bank (Pittsfield, MA)",1202 TROY SCHENECTADY ROAD,LATHAM,12110,Albany,"1202 TROY SCHENECTADY ROAD
LATHAM, NY 12110
(42.771508, -73.822539)"
"Berkshire Bank (Pittsfield, MA)",One West Main Street,Little Falls,13365,Herkimer,"One West Main Street
Little Falls, NY 13365"
"Berkshire Bank (Pittsfield, MA)",399 Albany Shaker Road,Loudonville,12211,Albany,"399 Albany Shaker Road
Loudonville, NY 12211
(42.697212, -73.768006)"
"Berkshire Bank (Pittsfield, MA)",9085 Old River Road,Marcy,13403,Oneida,"9085 Old River Road
Marcy, NY 13403
(43.15762, -75.301641)"
"Berkshire Bank (Pittsfield, MA)",50 Genesee Street,New Hartford,13413,Oneida,"50 Genesee Street
New Hartford, NY 13413
(43.072938, -75.288876)"
"Berkshire Bank (Pittsfield, MA)",8491 Seneca Turnpike,New Hartford,13413,Oneida,"8491 Seneca Turnpike
New Hartford, NY 13413
(43.080915, -75.320784)"
"Berkshire Bank (Pittsfield, MA)",Highways 20 & 22,New Lebanon,12125,Columbia,"22 New
Lebanon, NY 12125
(42.447129, -73.788858)"
"Berkshire Bank (Pittsfield, MA)",120 Mansion Street,Niskayuna,12304,Schenectady,"120 Mansion Street
Niskayuna, NY 12304"
"Berkshire Bank (Pittsfield, MA)",576 North Greenbush Road,North Greenbush,12144,Rensselaer,"576 North Greenbush Road
North Greenbush, NY 12144
(42.648973, -73.697095)"
"Berkshire Bank (Pittsfield, MA)",210-216 Main Street,Oriskany Falls,13425,Oneida,"210 216 Main Street
Oriskany Falls, NY 13425
(42.939517, -75.462497)"
"Berkshire Bank (Pittsfield, MA)",183 Quaker Road,Queensbury,12804,Warren,"183 Quaker Road
Queensbury, NY 12804
(43.3321, -73.656337)"
"Berkshire Bank (Pittsfield, MA)",Rear 139 West Dominick Street,Rome,13440,Oneida,"139 West Dominick Street
Rome, NY 13440
(43.211147, -75.458388)"
"Berkshire Bank (Pittsfield, MA)",1300 Erie Boulevard West,Rome,13440,Oneida,"1300 Erie Boulevard West
Rome, NY 13440
(43.228126, -75.491231)"
"Berkshire Bank (Pittsfield, MA)",1629 Black River Boulevard,Rome,13440,Oneida,"1629 Black River Boulevard
Rome, NY 13440
(43.230078, -75.439761)"
"Berkshire Bank (Pittsfield, MA)",100 West Dominick Street,Rome,13440,Oneida,"100 West Dominick Street
Rome, NY 13440
(43.210881, -75.457839)"
"Berkshire Bank (Pittsfield, MA)",1925 Curry Road,Rotterdam,12303,Schenectady,"1925 Curry Road
Rotterdam, NY 12303"
"Berkshire Bank (Pittsfield, MA)",11 Vista Boulevard,Slingerlands,12159,Albany,"11 Vista Boulevard
Slingerlands, NY 12159
(42.640547, -73.860804)"
"Berkshire Bank (Pittsfield, MA)",6788 Northern Boulevard,Syracuse,13057,Onondaga,"6788 Northern Boulevard
Syracuse, NY 13057
(43.102695, -76.076592)"
"Berkshire Bank (Pittsfield, MA)",50 Auert Avenue,Utica,13502,Oneida,"50 Auert Avenue
Utica, NY 13502
(43.115197, -75.208252)"
"Berkshire Bank (Pittsfield, MA)",1100 Mohawk Street,Utica,13501,Oneida,"1100 Mohawk Street
Utica, NY 13501
(43.092249, -75.221261)"
"Berkshire Bank (Pittsfield, MA)",381 West Main Street,West Winfield,13491,Herkimer,"381 West Main Street
West Winfield, NY 13491
(42.885159, -75.193745)"
"Berkshire Bank (Pittsfield, MA)",184 Broadway,Whitehall,12887,Washington,"184 Broadway
Whitehall, NY 12887
(43.54697, -73.406145)"
"Berkshire Bank (Pittsfield, MA)",34 Oriskany Boulevard,Whitesboro,13492,Oneida,"34 Oriskany Boulevard
Whitesboro, NY 13492
(43.116697, -75.290644)"
"Berkshire Bank (Pittsfield, MA)",3025 Route 50,Wilton,12866,Warren,"3025 Route
Wilton, NY 12866"
"Berkshire Bank, The",60 Main Street,Bloomingburg,12721,Sullivan,"60 Main Street
Bloomingburg, NY 12721
(41.553921, -74.436946)"
"Berkshire Bank, The",1119 Avenue J,Brooklyn,11230,Kings,"1119 Avenue
Brooklyn, NY 11230
(40.62723, -73.96488)"
"Berkshire Bank, The",5010 13th Avenue,Brooklyn,11219,Kings,"5010 13th Avenue
Brooklyn, NY 11219
(40.634403, -73.99276)"
"Berkshire Bank, The",1421 Kings Highway,Brooklyn,11229,Kings,"1421 Kings Highway
Brooklyn, NY 11229
(40.608719, -73.958367)"
"Berkshire Bank, The",4917 16th Avenue,Brooklyn,11204,Kings,"4917 16th Avenue
Brooklyn, NY 11204
(40.630939, -73.985602)"
"Berkshire Bank, The",2 South Church Street,Goshen,10924,Orange,"2 South Church Street
Goshen, NY 10924
(41.401907, -74.323594)"
"Berkshire Bank, The",80 Route 17M,Harriman,10926,Orange,"80 Route
Harriman, NY 10926"
"Berkshire Bank, The",210 Pinehurst Avenue,New York,10033,New York,"210 Pinehurst Avenue
New York, NY 10033
(40.855195, -73.937873)"
"Berkshire Bank, The",4 East 39th Street,New York,10016,New York,"4 East 39th Street
New York, NY 10016
(40.751314, -73.981627)"
"Berkshire Bank, The",5 Broadway,New York,10004,New York,"5 Broadway
New York, NY 10004
(40.705037, -74.01397)"
Bethpage Federal Credit Union,1145 Willus Avenue,Albertson,11507,Nassau,"1145 Willus Avenue
Albertson, NY 11507
(40.775493, -73.650129)"
Bethpage Federal Credit Union,1800 Grand Avenue,Baldwin,11510,Nassau,"1800 Grand Avenue
Baldwin, NY 11510
(40.666819, -73.608177)"
Bethpage Federal Credit Union,834 Sunrise Highway,Bay Shore,11706,Suffolk,"834 Sunrise Highway
Bay Shore, NY 11706
(40.729029, -73.279105)"
Bethpage Federal Credit Union,591 East Main Street,Bay Shore,11706,Suffolk,"591 East Main Street
Bay Shore, NY 11706
(40.727958, -73.228792)"
Bethpage Federal Credit Union,899 South Oyster Bay Road,Bethpage,11714,Nassau,"899 South Oyster Bay Road
Bethpage, NY 11714
(40.760473, -73.499995)"
Bethpage Federal Credit Union,700 Northern Boulevard,Brookville,11548,Nassau,"700 Northern Boulevard
Brookville, NY 11548
(40.816641, -73.607365)"
Bethpage Federal Credit Union,2245 Middle Country Road,Centereach,11720,Suffolk,"2245 Middle Country Road
Centereach, NY 11720
(40.858178, -73.091273)"
Bethpage Federal Credit Union,233 South Research Place,Central Islip,11722,Suffolk,"233 South Research Place
Central Islip, NY 11722
(40.770455, -73.199591)"
Bethpage Federal Credit Union,111 WEST 26TH STREET,CHELSEA,10001,New York,"111 WEST 26TH STREET
CHELSEA, NY 10001
(40.744967, -73.991813)"
Bethpage Federal Credit Union,94 Harned Road,Commack,11725,Suffolk,"94 Harned Road
Commack, NY 11725
(40.838275, -73.27929)"
Bethpage Federal Credit Union,357 Larkfield Road,East Northport,11731,Suffolk,"357 Larkfield Road
East Northport, NY 11731
(40.869515, -73.3225)"
Bethpage Federal Credit Union,1644 Dutch Broadway,Elmont,11003,Nassau,"1644 Dutch
Elmont, NY 11003"
Bethpage Federal Credit Union,1033 Route 109,Farmingdale,11735,Nassau,"1033 Route
Farmingdale, NY 11735"
Bethpage Federal Credit Union,210 West Merrick Road,Freeport,11520,Nassau,"210 West Merrick Road
Freeport, NY 11520
(40.652617, -73.589236)"
Bethpage Federal Credit Union,111 School Street,Glen Cove,11542,Nassau,"111 School Street
Glen Cove, NY 11542
(40.867659, -73.630839)"
Bethpage Federal Credit Union,170 Fulton Avenue,Hempstead,11550,Nassau,"170 Fulton Avenue
Hempstead, NY 11550
(40.70745, -73.629333)"
Bethpage Federal Credit Union,33 Gerard Street,Huntington,11743,Suffolk,"33 Gerard Street
Huntington, NY 11743
(40.872478, -73.426572)"
Bethpage Federal Credit Union,3284 Hempstead Turnpike,Levittown,11756,Nassau,"3284 Hempstead Turnpike
Levittown, NY 11756
(40.725853, -73.515466)"
Bethpage Federal Credit Union,26 West Park Avenue,Long Beach,11561,Nassau,"26 West Park Avenue
Long Beach, NY 11561
(40.588371, -73.664984)"
Bethpage Federal Credit Union,613 Sunrise Highway,Lynbrook,11563,Nassau,"613 Sunrise Highway
Lynbrook, NY 11563
(40.655601, -73.676286)"
Bethpage Federal Credit Union,6257 Sunrise Highway,Massapequa,11758,Nassau,"6257 Sunrise Highway
Massapequa, NY 11758
(40.684267, -73.428539)"
Bethpage Federal Credit Union,722 WALT WHITMAN ROAD,MELVILLE,11747,Suffolk,"722 WALT WHITMAN ROAD
MELVILLE, NY 11747
(40.804034, -73.411126)"
Bethpage Federal Credit Union,131 Jericho Turnpike,Mineola,11501,Nassau,"131 Jericho Turnpike
Mineola, NY 11501
(40.749343, -73.640408)"
Bethpage Federal Credit Union,1350 Deer Park Avenue,North Babylon,11703,Suffolk,"1350 Deer Park Avenue
North Babylon, NY 11703
(40.743085, -73.322146)"
Bethpage Federal Credit Union,272 East Main Street,Patchogue,11772,Suffolk,"272 East Main Street
Patchogue, NY 11772
(40.766069, -73.006196)"
Bethpage Federal Credit Union,4802 Nesconset Highway,Port Jefferson Station,11776,Suffolk,"4802 Nesconset Highway
Port Jefferson Station, NY 11776
(40.918221, -73.053496)"
Bethpage Federal Credit Union,1095 Old Country Road,Riverhead,11901,Suffolk,"1095 Old Country Road
Riverhead, NY 11901
(40.932266, -72.676029)"
Bethpage Federal Credit Union,405 Nassau Road,Roosevelt,11575,Nassau,"405 Nassau Road
Roosevelt, NY 11575
(40.682561, -73.591812)"
Bethpage Federal Credit Union,4006 Merrick Road,Seaford,11783,Nassau,"4006 Merrick Road
Seaford, NY 11783
(40.666474, -73.484443)"
Bethpage Federal Credit Union,240 Middle Town Road,Smithtown,11787,Suffolk,"240 Middle Town Road
Smithtown, NY 11787
(40.744861, -73.031125)"
Bethpage Federal Credit Union,231 West Merrick Road,Valley Stream,11580,Nassau,"231 West Merrick Road
Valley Stream, NY 11580
(40.667122, -73.706)"
Bethpage Federal Credit Union,555 Montauk Highway,West Babylon,11704,Suffolk,"555 Montauk Highway
West Babylon, NY 11704
(40.687617, -73.34131)"
Bethpage Federal Credit Union,750 Old Country Road,Westbury,11590,Nassau,"750 Old Country Road
Westbury, NY 11590
(40.751311, -73.569858)"
"Bridgehampton National Bank, The", 35-02 Broadway Ave, Astoria,11106,Suffolk,"35 02 Broadway Ave
Astoria, NY 11106"
"Bridgehampton National Bank, The", 380 East Main Street,Bayshore,11706,Suffolk,"380 East Main Street
Bayshore, NY 11706
(40.726442, -73.235666)"
"Bridgehampton National Bank, The",43-01 Bell Boulevard,Bayside,11361,Queens,"43 01 Bell Boulevard
Bayside, NY 11361"
"Bridgehampton National Bank, The",2200 Montauk Highway,Bridgehampton,11932,Suffolk,"2200 Montauk Highway
Bridgehampton, NY 11932
(40.933704, -72.311606)"
"Bridgehampton National Bank, The",15 Frowein Road,Center Moriches,11934,Suffolk,"15 Frowein Road
Center Moriches, NY 11934
(40.808885, -72.777186)"
"Bridgehampton National Bank, The",410 Commack Road,Deer Park,11729,Suffolk,"410 Commack Road
Deer Park, NY 11729
(40.761304, -73.312928)"
"Bridgehampton National Bank, The",8 Gingerbread Lane,East Hampton,11937,Suffolk,"8 Gingerbread Lane
East Hampton, NY 11937
(40.962969, -72.195889)"
"Bridgehampton National Bank, The",55 Main Street,East Hampton,11937,Suffolk,"55 Main Street
East Hampton, NY 11937
(40.962734, -72.186235)"
"Bridgehampton National Bank, The", 481 Montauk Highway, East Moriches,11940,Suffolk,"481 Montauk Highway
East Moriches, NY 11940
(40.804616, -72.761578)"
"Bridgehampton National Bank, The",1055 Franklin Avenue,Garden City,11530,Nassau,"1055 Franklin Avenue
Garden City, NY 11530
(40.73073, -73.636082)"
"Bridgehampton National Bank, The",200 Middle Neck Road,Great Neck,11021,Nassau,"200 Middle Neck Road
Great Neck, NY 11021
(40.793648, -73.733281)"
"Bridgehampton National Bank, The",218 Front Street,Greenport,11944,Suffolk,"218 Front Street
Greenport, NY 11944
(41.101735, -72.362647)"
"Bridgehampton National Bank, The",48 East Montauk Highway,Hampton Bays,11946,Suffolk,"48 East Montauk Highway
Hampton Bays, NY 11946
(40.879158, -72.520327)"
"Bridgehampton National Bank, The",898 Veterans Memorial Highway,Hauppauge,11788,Suffolk,"898 Veterans Memorial Highway
Hauppauge, NY 11788
(40.819677, -73.201697)"
"Bridgehampton National Bank, The",337 Main Street,Huntington,11743,Suffolk,"337 Main Street
Huntington, NY 11743
(40.870853, -73.42953)"
"Bridgehampton National Bank, The",10900 Main Road,Mattituck,11952,Suffolk,"10900 Main Road
Mattituck, NY 11952
(40.986317, -72.536887)"
"Bridgehampton National Bank, The",400 Broadhollow Road,Melville,11747,Suffolk,"400 Broadhollow Road
Melville, NY 11747
(40.778519, -73.41973)"
"Bridgehampton National Bank, The", 2222 Merrick Road,Merrick ,11556,Nassau,"2222 Merrick Road
Merrick, NY 11556
(40.659828, -73.542366)"
"Bridgehampton National Bank, The",3 The Plaza,Montauk,11954,Suffolk,"3 The Plaza
Montauk, NY 11954
(41.035024, -71.944841)"
"Bridgehampton National Bank, The",3121 Long Beach Road,Oceanside,11572,Nassau,"3121 Long Beach Road
Oceanside, NY 11572
(40.63606, -73.640356)"
"Bridgehampton National Bank, The",41 East Main Street,Patchogue,11772,Suffolk,"41 East Main Street
Patchogue, NY 11772
(40.76567, -73.014109)"
"Bridgehampton National Bank, The",414 Main Street,Port Jefferson,11777,Suffolk,"414 Main Street
Port Jefferson, NY 11777
(40.943458, -73.066907)"
"Bridgehampton National Bank, The", 209 West Main St, Riverhead,11901,Suffolk,"209 West Main St
Riverhead, NY 11901
(40.917192, -72.665309)"
"Bridgehampton National Bank, The",333 Merrick Road,Rockville Centre,11570,Nassau,"333 Merrick Road
Rockville Centre, NY 11570
(40.655936, -73.643241)"
"Bridgehampton National Bank, The", 75 Route 25 A,Rocky Point,11778,Suffolk,"75 Route
Rocky Point, NY 11778"
"Bridgehampton National Bank, The",4155 Veterans Memorial Highway,Ronkonkoma,11779,Suffolk,"4155 Veterans Memorial Highway
Ronkonkoma, NY 11779
(40.782671, -73.099704)"
"Bridgehampton National Bank, The",2 Bay Street,Sag Harbor,11963,Suffolk,"2 Bay Street
Sag Harbor, NY 11963
(41.00203, -72.29456)"
"Bridgehampton National Bank, The",15 Long Island Ave,Sag Harbor,11963,Suffolk,"15 Long Island Ave
Sag Harbor, NY 11963
(41.002124, -72.296311)"
"Bridgehampton National Bank, The",21 North Ferry Road,Shelter Island,11964,Suffolk,"21 North Ferry Road
Shelter Island, NY 11964
(41.067889, -72.334967)"
"Bridgehampton National Bank, The",630 Montauk Highway,Shirley,11967,Suffolk,"630 Montauk Highway
Shirley, NY 11967
(40.800506, -72.875465)"
"Bridgehampton National Bank, The", 180 East Main Street,Smithtown,11787,Suffolk,"180 East Main Street
Smithtown, NY 11787
(40.856158, -73.186729)"
"Bridgehampton National Bank, The",150 Hampton Road,Southampton,11968,Suffolk,"150 Hampton Road
Southampton, NY 11968
(40.88818, -72.384383)"
"Bridgehampton National Bank, The",243 Windmill Lane,Southampton,11969,Suffolk,"243 Windmill Lane
Southampton, NY 11969
(40.890078, -72.393293)"
"Bridgehampton National Bank, The",54970 Main Road,Southold,11971,Suffolk,"54970 Main Road
Southold, NY 11971
(41.065619, -72.424867)"
"Bridgehampton National Bank, The",6324 Route 25A,Wading River,11792,Suffolk,"6324 Route
Wading River, NY 11792"
"Bridgehampton National Bank, The",194 Mill Road,Westhampton Beach,11978,Suffolk,"194 Mill Road
Westhampton Beach, NY 11978
(40.814826, -72.64732)"
"Bridgehampton National Bank, The",8191 Jericho Turnpike,Woodbury,11797,Nassau,"8191 Jericho Turnpike
Woodbury, NY 11797
(40.815842, -73.469109)"
Buffalo Metropolitan Federal CU,62 South Elmwood Avenue,Buffalo,14202,Erie,"62 South Elmwood Avenue
Buffalo, NY 14202
(42.886967, -78.879623)"
Buffalo Metropolitan Federal CU,257 West Genesee Street,Buffalo,14202,Erie,"257 West Genesee Street
Buffalo, NY 14202
(42.884686, -78.882448)"
Buffalo Metropolitan Federal CU,110 14th Street,Buffalo,14213,Erie,"110 14th Street
Buffalo, NY 14213
(42.903907, -78.88446)"
Buffalo Metropolitan Federal CU,2855 Main Street,Buffalo,14214,Erie,"2855 Main Street
Buffalo, NY 14214
(42.944339, -78.833491)"
Buffalo Metropolitan Federal CU,65 Niagara Square,Buffalo,14202,Erie,"65 Niagara Square
Buffalo, NY 14202
(42.886531, -78.878773)"
Buffalo Metropolitan Federal CU,50 Delaware Avenue,Buffalo,14202,Erie,"50 Delaware Avenue
Buffalo, NY 14202
(42.885477, -78.879011)"
Buffalo Metropolitan Federal CU,370 Seneca Street,Buffalo,14202,Erie,"370 Seneca Street
Buffalo, NY 14202
(42.878307, -78.862817)"
Buffalo Metropolitan Federal CU,3010 Walden Avenue,Depew,14043,Erie,"3010 Walden Avenue
Depew, NY 14043
(42.90873, -78.719149)"
Buffalo Service Credit Union,3495 Bailey Ave.,Buffalo,14215,Erie,"3495 Bailey Ave
Buffalo, NY 14215
(42.951214, -78.81373)"
Buffalo Service Credit Union,111 W. Huron St.,Buffalo,14202,Erie,"111 W Huron St
Buffalo, NY 14202
(42.889214, -78.876733)"
Canandaigua Federal Credit Union,3210 Eastern Boulevard,Canandaigua,14424,Ontario,"3210 Eastern Boulevard
Canandaigua, NY 14424
(42.875656, -77.24753)"
Canandaigua National Corporation,4 Main Street,Bloomfield,14469,Ontario,"4 Main Street
Bloomfield, NY 14469
(42.902158, -77.42017)"
Canandaigua National Corporation,709 South Main Street,Canandaigua,14424,Ontario,"709 South Main Street
Canandaigua, NY 14424
(42.877, -77.273532)"
Canandaigua National Corporation,17 Chapin Street,Canandaigua,14424,Ontario,"17 Chapin Street
Canandaigua, NY 14424
(42.886564, -77.282109)"
Canandaigua National Corporation,60-70 South Main Street,Canandaigua,14424,Ontario,"60 70 South Main Street
Canandaigua, NY 14424
(42.88689, -77.280816)"
Canandaigua National Corporation,6720 Pittsford Palmyra Road,Fairport,14450,Monroe,"6720 Pittsford Palmyra Road
Fairport, NY 14450
(43.069175, -77.441167)"
Canandaigua National Corporation,6183 Route 96,Farmington,14425,Ontario,"6183 Route
Farmington, NY 14425"
Canandaigua National Corporation,291 Hamilton Street,Geneva,14456,Ontario,"291 Hamilton Street
Geneva, NY 14456
(42.858803, -76.994744)"
Canandaigua National Corporation,8633 U.S. Route 20A,Honeoye,14471,Ontario,"8633 U S Route
Honeoye, NY 14471"
Canandaigua National Corporation,99 West Main Street,Honeoye Falls,14472,Monroe,"99 West Main Street
Honeoye Falls, NY 14472
(42.949923, -77.598773)"
Canandaigua National Corporation,119 South Main Street,Manchester,14504,Ontario,"119 South Main Street
Manchester, NY 14504
(42.960525, -77.230265)"
Canandaigua National Corporation,51 Assembly Drive,Mendon,14506,Monroe,"51 Assembly Drive
Mendon, NY 14506
(42.999757, -77.507455)"
Canandaigua National Corporation,1816 Penfield Road,Penfield,14526,Monroe,"1816 Penfield Road
Penfield, NY 14526
(43.129946, -77.476303)"
Canandaigua National Corporation,18 State Street,Pittsford,14534,Monroe,"18 State Street
Pittsford, NY 14534
(43.090455, -77.514165)"
Canandaigua National Corporation,2455 West Ridge Road,Rochester,14626,Monroe,"2455 West Ridge Road
Rochester, NY 14626
(43.209541, -77.694015)"
Canandaigua National Corporation,45 East Main Street,Rochester,14614,Monroe,"45 East Main Street
Rochester, NY 14614
(43.155994, -77.61127)"
Canandaigua National Corporation,3204 Latta Road,Rochester,14626,Monroe,"3204 Latta Road
Rochester, NY 14626
(43.253041, -77.699029)"
Canandaigua National Corporation,3228 Chili Avenue,Rochester,14626,Monroe,"3228 Chili Avenue
Rochester, NY 14626
(43.103946, -77.75266)"
Canandaigua National Corporation,2128 Hudson Avenue,Rochester,14617,Monroe,"2128 Hudson Avenue
Rochester, NY 14617
(43.206853, -77.600759)"
Canandaigua National Corporation,1575 Mount Hope Avenue,Rochester,14620,Monroe,"1575 Mount Hope Avenue
Rochester, NY 14620
(43.119125, -77.620194)"
Canandaigua National Corporation,210 Alexander Street,Rochester,14607,Monroe,"210 Alexander Street
Rochester, NY 14607
(43.149359, -77.597379)"
Canandaigua National Corporation,1225 Commons Way,Rochester,14623,Monroe,"1225 Commons Way
Rochester, NY 14623
(43.083249, -77.606483)"
Canandaigua National Corporation,2075 Monroe Avenue,Rochester,14618,Monroe,"2075 Monroe Avenue
Rochester, NY 14618
(43.124083, -77.561964)"
Canandaigua National Corporation,1341 Mount Hope Avenue,Rochester,14620,Monroe,"1341 Mount Hope Avenue
Rochester, NY 14620
(43.123488, -77.618225)"
Canandaigua National Corporation,7979 Victor Pittsford Road,Victor,14564,Ontario,"7979 Victor Pittsford Road
Victor, NY 14564
(43.024929, -77.438848)"
Canandaigua National Corporation,61 West Main Street,Victor,14564,Ontario,"61 West Main Street
Victor, NY 14564
(42.983395, -77.411456)"
Canandaigua National Corporation,1155 Ridge Road,Webster,14580,Monroe,"1155 Ridge Road
Webster, NY 14580
(43.210506, -77.44363)"
